onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
3.296	0.134	PURS	507.5	74.9	479.9	69.6	1.297	63.395	5.163	15.420
3.430	0.108	SACC	474.0	68.1	-76.6	-111.6	32.579	483.078	293.536	307.248
3.538	0.184	PURS	-76.6	-111.6	-52.8	-85.0	2.006	58.949	5.501	14.832
3.722	0.159	SACC	-52.8	-87.6	505.4	39.2	32.197	325.697	259.470	215.030
3.880	0.025	LPSO	505.4	39.2	497.2	30.8	0.662	67.996	17.376	28.457
3.905	0.100	FIXA	489.4	30.8	501.8	30.2	0.700	52.778	16.924	18.902
4.005	0.108	SACC	504.4	30.2	-33.7	-85.2	30.959	481.030	317.860	290.043
4.114	0.025	LPSO	-33.7	-81.7	-22.1	-75.2	0.750	53.480	36.412	37.808
4.139	0.217	FIXA	-19.3	-72.2	-13.7	-67.0	0.431	27.692	2.932	3.966
4.356	0.134	SACC	-13.5	-69.0	420.2	-9.6	24.624	294.009	214.105	191.511
4.489	0.058	FIXA	420.2	-9.6	420.9	-11.1	0.092	9.947	3.094	3.708
4.548	0.100	SACC	420.9	-11.6	-83.3	-71.7	28.565	441.305	224.740	197.505
4.648	0.025	LPSO	-83.3	-71.7	-76.0	-76.0	0.477	36.694	31.599	22.764
4.673	0.050	FIXA	-75.0	-76.0	-73.8	-77.7	0.118	6.890	4.098	3.907
4.723	0.175	PURS	-73.8	-78.1	-64.7	-84.3	0.619	19.474	3.558	5.067
4.898	0.050	ISAC	-64.7	-84.7	-39.2	-77.6	1.492	65.260	54.727	39.551
4.948	0.117	FIXA	-38.9	-77.1	-40.9	-70.1	0.407	11.224	3.907	4.491
5.065	0.142	SACC	-38.6	-70.1	387.5	0.1	24.292	304.714	204.311	174.046
5.207	0.025	HPSO	387.5	0.1	374.7	1.5	0.723	62.798	25.166	29.321
5.232	0.075	FIXA	369.3	-1.8	369.0	-0.5	0.073	43.025	4.401	7.733
5.307	0.108	SACC	365.2	-0.4	-67.3	-91.8	24.865	452.612	264.693	233.469
5.416	0.025	LPSO	-67.3	-91.3	-58.2	-90.9	0.509	34.555	26.515	21.414
5.441	0.217	FIXA	-58.2	-89.9	-44.9	-96.4	0.837	51.183	2.206	7.641
5.791	0.092	FIXA	521.6	107.6	502.9	66.3	2.250	92.682	34.140	39.233
5.883	0.167	SACC	505.4	66.3	-46.1	-70.5	31.964	562.967	212.495	199.681
6.050	0.017	HPSO	-46.1	-70.5	-37.1	-71.4	0.511	61.260	30.630	30.630
6.067	0.317	FIXA	-37.1	-71.4	-32.6	-73.2	0.268	27.563	1.935	4.230
6.384	0.200	SACC	-32.6	-76.6	487.5	9.0	29.649	333.559	184.961	172.250
6.584	0.025	LPSO	486.6	8.1	476.0	7.1	0.597	41.995	30.040	26.920
6.609	0.067	PURS	476.0	7.1	476.7	3.0	0.233	30.680	1.561	6.774
6.676	0.117	SACC	474.9	3.0	-74.3	-82.5	31.265	480.396	302.741	270.262
6.793	0.025	LPSO	-74.3	-83.4	-68.5	-83.9	0.331	19.949	19.856	15.342
6.818	0.042	FIXA	-63.5	-83.9	-62.7	-83.8	0.043	33.467	2.541	7.758
6.859	0.175	PURS	-62.6	-83.1	-53.2	-74.6	0.715	13.769	4.519	5.243
7.034	0.142	SACC	-53.6	-78.0	-496.7	-64.3	24.936	322.109	205.858	178.424
7.176	0.025	HPSO	-496.7	-64.1	-480.6	-63.6	0.904	61.035	47.358	36.660
7.201	0.100	FIXA	-467.6	-63.6	-448.8	-56.3	1.131	88.276	4.028	21.758
7.302	0.092	SACC	-446.1	-56.3	20.7	-41.2	26.270	575.483	350.154	305.401
7.393	0.092	FIXA	20.7	-41.2	20.4	-37.7	0.193	7.932	2.683	3.161
7.485	0.150	PURS	20.6	-37.5	22.8	-33.8	0.240	7.051	1.668	2.096
7.635	0.033	ISAC	24.3	-36.0	33.8	-56.4	1.269	143.638	12.289	42.892
7.669	0.033	FIXA	34.2	-57.2	36.4	-58.5	0.140	9.175	5.997	6.586
7.702	0.050	ISAC	37.4	-59.8	26.1	-35.2	1.522	176.770	5.926	33.365
7.752	0.050	FIXA	26.1	-35.2	6.2	-50.9	1.427	164.581	10.269	35.259
8.111	0.075	SACC	-303.2	14.6	21.0	-37.4	15.021	412.969	287.549	278.436
8.186	0.025	HPSO	21.7	-37.4	21.7	-35.6	0.102	12.236	4.701	5.646
8.211	0.150	FIXA	23.6	-43.3	19.9	-33.0	0.615	92.312	1.812	9.459
8.361	0.025	ISAC	19.9	-33.0	30.6	-63.7	1.831	219.019	1.120	73.380
8.386	0.100	FIXA	30.8	-63.7	31.2	-62.3	0.083	4.726	1.421	1.617
8.486	0.142	ISAC	31.2	-62.6	0.8	-70.2	1.768	168.134	68.560	66.263
8.628	0.050	FIXA	0.8	-70.2	0.1	-69.8	0.040	3.775	0.535	1.116
8.678	0.050	ISAC	2.0	-68.9	-6.9	-38.8	1.764	98.702	13.742	39.671
8.728	0.067	FIXA	-6.9	-38.8	-6.0	-37.5	0.089	4.676	1.485	1.746
8.795	0.142	SACC	-5.8	-37.1	-403.4	0.0	22.461	331.437	181.999	172.710
8.937	0.025	HPSO	-403.4	0.0	-397.1	-3.7	0.414	38.973	20.673	19.882
8.962	0.058	FIXA	-388.8	-6.0	-383.9	-8.2	0.302	58.001	1.662	15.183
9.021	0.142	SACC	-383.5	-8.0	21.6	-65.2	23.013	479.807	62.965	168.707
